id,name,type,category,organizer,prestigeTier,cost,commitment,eligibility,format,description,timing,payoff,notes,url,confidence,verified,effort,competitiveness,skills,prestige,clubFit,accessibility,clubStatus,clubNotes,lastVerified
amc-10-12-aime-usamo,AMC 10/12 -> AIME -> USAMO (quant finance pipeline),Competition,Quantitative & Modeling,"Mathematical Association of America; prizes sponsored by Jane Street, Citadel/Citadel Securities, and Two Sigma",Tier 1 for quant pathways,"Small exam fee, usually covered by the school",Ongoing math practice,"AMC 10 for grade 10 and below, AMC 12 for grade 12 and below; taken at school or an approved site",Multiple-choice exams -> AIME qualification -> USAMO/USAJMO,"Not a finance competition, but included deliberately: the top quantitative trading firms literally sponsor these exams (Jane Street sponsors the AMC 12 prizes, Citadel Securities the AMC 10 A, Two Sigma the AMC 10 B). AIME qualification is the most reliable single signal a high schooler can produce for quant trading and research recruiting later on. If any of your members are aiming at Jane Street, Citadel, Optiver, or SIG, this matters more than any investing competition on this list.","AMC 10/12 A and B in November, AIME in February","AIME/USAMO qualification, direct recruiting visibility with quant firms","Worth saying out loud at a club meeting: students who want quant should treat math contests as the main event and investing competitions as the supplement. Students who want investment banking, asset management, or corporate finance should do the reverse.",https://maa.org/student-programs/amc/,Verified Aug 2026,TRUE,8,9,10,8,4,8,not-started,,2026-08-03
john-locke-institute-global-essay-prize-economics-category,John Locke Institute Global Essay Prize - Economics category,Essay Competition,Economics,"John Locke Institute (Oxford, UK)",Tier 1 - Internationally prestigious,Registration fee (modest); late entries cost more,30-50 hrs on one essay,Students generally under 19 (check current age bands); global,"Independent essay on a set prompt, submitted online","One of the most prestigious essay competitions available to secondary students internationally, with an Economics category alongside philosophy, politics, history, psychology and others. Recent economics prompts have explored personalised pricing, wealth creation, and the implications of a cashless society. Winners are invited to an awards ceremony in Oxford and shortlisting alone is a meaningful distinction. Highly competitive, with entries from academically elite students worldwide.",Multiple deadlines per year; the main global prize deadline is typically late June with registration in spring,"Prizes, Oxford ceremony invitation, exceptional college essay and interview material","Individual pursuit, not a club activity -- but running a club workshop on 'how to argue in economics' using past John Locke prompts is a genuinely good meeting. Verify the exact 2026-27 deadlines and age limits directly; this competition has changed its structure repeatedly.",https://www.johnlockeinstitute.com/essay-competition,Verified competition is active Aug 2026 -- confirm current deadlines and age bands,TRUE,7,9,8,8,4,9,not-started,,2026-08-03
marshall-society-essay-competition,Marshall Society Essay Competition,Essay Competition,Economics,"The Marshall Society, University of Cambridge","Tier 2 - Strong academic signal, Cambridge affiliation",Free,20-40 hrs,"Any student who has not yet begun university studies, worldwide",Single economics essay on one of several set prompts,"Run by Cambridge's undergraduate economics society. The 2026 prompts included whether it is fair to always call tariffs 'bad', the extent to which central banks can stabilise an economy facing external energy shocks, the role of Britain leaving the gold standard in its 1930s recovery, and an analysis of the claim that 'the stock market is not the economy'. Winning essays receive prizes and selected entries are published in The Dismal Scientist, the society's magazine.",Deadline typically late August,"Cash prizes, publication in The Dismal Scientist",Free to enter and the prompts are excellent discussion material even for members who never submit. The 'stock market is not the economy' prompt in particular is a perfect club debate topic. Deadline is imminent -- late August.,https://marshallsoc.org/marshall-society-essay-competition-2026/,Verified Aug 2026,TRUE,6,8,8,7,3,10,not-started,,2026-08-03
royal-economic-society-young-economist-of-the-year,Royal Economic Society Young Economist of the Year,Essay Competition,Economics,"Royal Economic Society (UK), historically in association with the Financial Times","Tier 2 - Very selective, respected academically",Free,15-25 hrs,"High school students worldwide, typically ages 16-18, taking A-level economics or equivalent","1,500-word short research paper on one of several announced topics","A long-running and highly selective economics essay prize. In 2019, 1,300 submissions yielded 36 shortlisted entries -- roughly a 2.7% shortlisting rate. The best overall essay historically received GBP 1,000 with GBP 200 for the best essay on each topic. Shortlisted authors are named on the RES website and are colloquially regarded as winners. The 1,500-word limit is unusually tight, which rewards precision over volume.",Essays typically due in June,"Cash prizes, RES recognition, publication of names","The tight word count makes this less time-intensive than John Locke while still being highly selective. Good option for a strong writer with limited bandwidth. UK-oriented, so US shortlistings stand out.",https://res.org.uk/,Verified competition exists Aug 2026 -- confirm current year's topics and deadline,TRUE,5,8,7,7,3,8,not-started,,2026-08-03
diamond-challenge,Diamond Challenge,Competition,Entrepreneurship & Pitch,"Horn Entrepreneurship, University of Delaware",Tier 1 - Premier HS entrepreneurship competition,Free to enter,3-4 months of sustained work,"High school students aged 14-18, any country. Teams of 2-4 plus one adult mentor.",Written concept + short video submission -> pitch round (live or virtual) -> semifinals -> Diamond Challenge Summit finals,"One of the most established global entrepreneurship competitions for high schoolers, running since 2012 with academic grounding from a real university entrepreneurship program. Two tracks: Business Innovation (revenue and market focused) and Social Innovation (impact driven). Over $100,000 in prizes, with grand prizes around $12,000 / $8,000 / $4,500 per track plus topical awards in areas like waste and recycling innovation and technology application. Attracts students from 50+ countries. No entry fee, and free resources are provided to students and educators.","2026 cycle opened Sept 17, 2025 and closed Jan 15, 2026; finalists named in March, summit late April. Expect a similar Sept 2026 - Jan 2027 window.","Over $100,000 total prize pool, Summit trip, global network, real startup funding","Free, high prestige, and real money -- the effort is the only barrier. If any club members have a business idea sitting idle, this is the vehicle. The Social Innovation track is typically less crowded than Business Innovation.",https://diamondchallenge.org/,Verified Aug 2026,TRUE,8,8,6,8,7,9,not-started,,2026-08-03
blue-ocean-student-entrepreneur-competition,Blue Ocean Student Entrepreneur Competition,Competition,Entrepreneurship & Pitch,Blue Ocean Competition (based on Blue Ocean Strategy),Tier 3 - Accessible; growing scale dilutes selectivity,Free,10-20 hrs,High school students worldwide; solo or teams of up to 5. Just an idea is enough -- no existing business required.,Fully virtual. Submit a recorded pitch of a 'blue ocean' business concept.,"A fully virtual global pitch competition built around blue ocean strategy -- creating uncontested market space rather than competing in existing markets. Deliberately low-barrier: students with nothing but an idea can enter, no prototype or revenue needed. Participation has grown fast, from about 2,500 students in 2022 to more than 23,000 in 2026. Cash prizes for students and prizes for their schools, with certificates for all participants.",2026 deadline was Feb 22; 2027 registration already open,"Cash prizes, school prizes, entrepreneur feedback, certificates",The single lowest-barrier real competition on this list. Excellent for getting every club member one legitimate competition entry under their belt. Registration for 2027 is open now.,https://blueoceancompetition.org/,Verified Aug 2026,TRUE,5,6,4,5,8,10,not-started,,2026-08-03
conrad-challenge,Conrad Challenge,Competition,Entrepreneurship & Pitch,Conrad Foundation (hosted with Space Center Houston),"Tier 2 - Prestigious, heavily STEM-weighted",Entry fees apply at later stages,8 months,"Students roughly ages 13-18 worldwide; teams can mix siblings, classmates, and students from other schools",Activation Stage -> Innovation Stage (business plan and technical submission) -> Innovation Summit finals (top 5 per category),"A STEM-plus-entrepreneurship competition running August through April in three phases. Teams identify a real problem, develop a technical innovation, and build a full business plan around it, competing in categories such as Aerospace & Aviation, Cyber-Technology & Security, Energy & Environment, and Health & Nutrition. Winners earn 'Pete Conrad Scholar' recognition, college scholarships, international trips, and discounted access to professional services for launching their venture.","Runs August through April; Innovation Stage judging in February, Summit in spring","Pete Conrad Scholar title, scholarships, international trips, venture support",Heavy lift and more engineering than finance. Only worth it if you have a team genuinely committed for the full school year and with a technical member. The business-plan component is where finance-minded students add value.,https://conrad.spacecenter.org/the-challenge/,Verified Aug 2026,TRUE,9,8,7,7,5,8,not-started,,2026-08-03
nfte-world-series-of-innovation,NFTE World Series of Innovation,Competition,Entrepreneurship & Pitch,Network for Teaching Entrepreneurship (NFTE),"Tier 3 - Accessible, decent recognition",Free,10-20 hrs,Ages 13-24 globally (Imagination League for ages 5-12); solo or teams of 2-4,Free online submission responding to sponsored challenge prompts tied to UN Sustainable Development Goals,"A free, fully online global competition where young people design solutions to real-world problems aligned with the UN Sustainable Development Goals. Each challenge is sponsored by a major company. NFTE provides optional virtual workshops, webinars, and Innovation Labs teaching design thinking. Prize pool exceeds $20,000, with the three highest-scoring entries per category typically receiving $1,500, $600, and $300.",Challenges launch ~Sept 9; submissions due ~Dec 12; judging Feb-Apr,"Cash prizes up to $1,500 per category, corporate sponsor exposure",Multiple categories means multiple shots -- run different club members at different challenges. Fall launch aligns well with early-year club momentum.,https://nfte.com/,Verified Aug 2026,TRUE,4,5,4,5,8,10,not-started,,2026-08-03
wharton-global-youth-program,"Wharton Global Youth Program (LBW, Essentials of Finance, Moneyball, FBW, Data Science Academy)",Summer Program,General Business,"The Wharton School, University of Pennsylvania",Tier 1 for brand; note it confers no Penn admissions advantage,"Roughly $7,300-$12,000 per session; need-based aid available","3 weeks on campus, plus application work",Grades 9-12. Minimum 3.3 unweighted GPA generally; 3.5+ for Leadership in the Business World and the Management & Technology Summer Institute.,"On-campus and online summer sessions. Application requires transcript, one recommendation, two short essays (~150-200 words), and a 90-second video or 500-word alternate.","The best-known business pre-college program in the US. Leadership in the Business World (LBW) is a three-week on-campus program for rising seniors, running since 1999, covering business fundamentals and organizational strategy through team projects, simulations, and debates, ending in a capstone case competition. Other tracks include Essentials of Finance, Moneyball Academy (sports analytics), Data Science Academy, and the online Future of the Business World. Flagship tracks admit roughly 17-20% of applicants. Need-based scholarships are available.",Applications typically open in the fall with priority deadlines in winter for the following summer,"Wharton certificate of completion, faculty instruction, strong peer network","Be honest with your members about the tradeoff: Wharton itself states participation does not guarantee Penn admission, and admissions officers know these programs are largely pay-to-attend. A student who wins a free national competition often signals more than one who paid $10,000 for a summer. Apply for the need-based aid if cost is a barrier -- it exists and is underused.",https://globalyouth.wharton.upenn.edu/,Verified Aug 2026,TRUE,6,9,5,8,2,3,not-started,,2026-08-03
jane-street-academy-of-math-and-programming,Jane Street Academy of Math and Programming (AMP),Summer Program,Quantitative & Modeling,Jane Street Capital,"Tier 1 - Elite, fully funded, direct industry connection","Free -- plus a $5,000 scholarship to each participant",5 weeks residential,Graduating high school seniors interested in math and computer science who have experienced barriers to accessing advanced STEM opportunities. Must be authorized to work in the US.,Five-week residential summer program in New York with a student-to-teacher ratio under 4:1,"A fully funded five-week residential program run by one of the world's top quantitative trading firms. Tuition, housing, meals, travel, and social activities are all covered, and each participant receives a $5,000 scholarship. Days consist of interactive classes, game playing, and problem solving with intensive instructor support. Explicitly designed for students who have faced barriers to advanced STEM education -- this is a genuine access program, not a marketing exercise.","2026: application deadline Mar 11, program Jun 29 - Jul 31. Expect similar 2027 timing.","$5,000 scholarship, elite instruction, direct relationship with Jane Street","Only for graduating seniors, and the eligibility criteria are specific -- read them carefully rather than assuming. For a member who fits, this is arguably the single highest-value opportunity in this entire database. Mark March 11 on your calendar for current juniors.",https://www.janestreet.com/join-jane-street/programs-and-events/amp/,Verified Aug 2026,TRUE,6,10,9,9,1,5,not-started,,2026-08-03
launchx,LaunchX,Summer Program,Entrepreneurship & Pitch,"LaunchX (originally MIT-affiliated, now independent)",Tier 2 - Well regarded in entrepreneurship circles,Paid; varies by format (in-person vs online),"Multiple weeks, full-time",High school students; selective application,"Intensive summer startup accelerator -- teams validate customer needs, prototype, and pitch to investors","A venture-creation program rather than a business class. Participants form startup teams, do customer discovery, build a minimum viable product, and pitch to real investors and mentors on a structured timeline with published build milestones. More execution-focused than most university pre-college business programs, which tend toward lectures and case studies.",Summer sessions; applications in winter/spring,"An actual launched venture, investor pitch experience, founder network","Better value than a passive lecture-based program if a member actually wants to build something. Still paid, so weigh it against free competitions with real prize money like Diamond Challenge.",https://www.launchx.com/,Verified program active Aug 2026 -- confirm current pricing and dates,TRUE,8,6,6,6,3,4,not-started,,2026-08-03
paid-pre-college-finance-programs,"Paid pre-college finance programs (NYIF, Bentley Wall Street 101, and similar)",Summer Program,General Business,"New York Institute of Finance, Bentley University, and various commercial providers","Commercial - real learning, minimal admissions signal","Typically $2,000-$6,000+",1-2 weeks,Generally open enrollment for high school students who can pay,"One- to two-week intensive courses in financial markets, investing, and Wall Street fundamentals","A large category of paid, largely non-selective programs teaching finance basics -- markets, stocks, bonds, currencies, commodities, valuation. NYIF's two-week Wall Street program includes a team equity research exercise where students screen companies and build a small portfolio. Bentley's Wall Street 101 offers residential, commuter, and online formats. The instruction can be legitimately good; the admissions signal is close to zero because acceptance is essentially guaranteed.","Summer, rolling admissions","Genuine foundational knowledge, some industry exposure, certificate","Included so your members can price-compare honestly. Everything taught in these programs is available free through CME Institute, YIS resources, Khan Academy, and Forage. Spend the money on travel to a national competition finals instead -- that's a better use of the same dollars.",https://precollegeprograms.nyif.com/,Verified Aug 2026,TRUE,3,1,4,2,2,3,not-started,,2026-08-03
nc-department-of-state-treasurer-high-school-financial-liter,NC Department of State Treasurer High School Financial Literacy Internship,Internship,Career Access (NC Local),North Carolina Department of State Treasurer,Tier 2 in-state - rare genuine HS finance internship,Free (paid via $500 scholarship),"Part-time, virtual, one term","North Carolina high school juniors and seniors, statewide","Virtual internship. One student selected each for fall, spring, and summer terms.","Announced by Treasurer Brad Briner in April 2026 at the NC Personal Finance Challenge state championship. The internship includes one-on-one mentorship with leadership across the department, a day of shadowing at Fidelity Investments in RTP, and hands-on work developing curriculum for the state's new high school financial literacy clubs. Completing students receive a $500 scholarship. The department won the Institute for Financial Literacy's 2026 national Government Organization of the Year award for its Finance Fridays newsletter.","Fall, spring, and summer cohorts -- one student each. Fall 2026 selection likely happening now.","$500 scholarship, mentorship with state financial leadership, Fidelity shadow day, curriculum-building credit","THE standout local opportunity, and structurally very hard to find elsewhere: genuine paid-equivalent finance internships for 16-17 year olds barely exist. Only one student per term, so it's competitive -- but the applicant pool is limited to NC students who happen to know about it, which is a small number. Contact the Treasurer's office directly and ask about the fall cycle.",https://www.nctreasurer.gov/,"Verified Aug 2026 -- application portal details not yet published, contact directly",TRUE,4,7,3,6,4,8,not-started,,2026-08-03
nc-high-school-financial-literacy-clubs,NC High School Financial Literacy Clubs (State Treasurer initiative),Club / Membership,Career Access (NC Local),North Carolina Department of State Treasurer,Infrastructure with state-level affiliation,Free,Ongoing,NC high schools,School-based clubs using curriculum adapted from the Finance Fridays newsletter,"The Treasurer's office is launching a network of financial literacy clubs in high schools across the state, built on an architecture that expands each Finance Fridays newsletter article into discussion prompts and activities. Rolling out starting fall 2026. For a club that already exists, this is free curriculum plus a direct line to the state Treasurer's office.",Launching fall 2026,"Free curriculum, state affiliation, likely priority for the new statewide competition and internship","Strongly recommend affiliating early. Being one of the first chartered clubs gives your members an inside track on the internship, the new statewide competition, and any Fidelity/RTP connections the office builds. Low cost, high optionality.",https://www.nctreasurer.gov/,Verified announcement Aug 2026 -- enrollment process not yet published,TRUE,3,1,2,4,10,9,not-started,,2026-08-03
rock-the-street-wall-street,"Rock The Street, Wall Street (RTSWS)",Program / Mentorship,Career Access,"Rock The Street, Wall Street (501(c)(3))",Tier 3 as a credential; Tier 1 for actual industry access,Free to schools and students,A few hours per week during sessions,"High school female-identifying and non-binary students, typically grades 9-11. School must host a chapter.","Year-long program: fall financial/investment literacy workshops (5 weeks) taught by female finance professionals, a 'Wall Street Experience' field trip, spring mentorship pairing, and a scholarship/internship/job board","A free nonprofit program bringing working female finance professionals into schools to teach financial and investment mathematics, with an explicit mission of widening the pipeline into finance careers. The four components are workshops with hands-on financial projects, a field trip to a financial institution, one-to-one mentorship with a seasoned professional, and access to an internship and job board. Students also build resumes and LinkedIn profiles. There is a Student CEO role for students who lead their school's cohort.",Fall workshop sessions and spring mentorship; Student CEO applications run for the following school year,"Direct professional mentorship, industry field trip, internship/job board access, leadership title","The mentorship and job board are the real value here, not the credential. If your school doesn't have a chapter, requesting one is a concrete, achievable club project -- it costs the school nothing. The Student CEO role is a genuine leadership line for a member.",https://rockthestreetwallstreet.com/rtsws-programs/high-school-program/,Verified Aug 2026,TRUE,3,3,2,4,6,6,not-started,,2026-08-03
forage-virtual-job-simulations,"Forage virtual job simulations (J.P. Morgan, Goldman Sachs, Citi, Bloomberg)",Virtual Experience,Career Access,"Forage, in partnership with 125+ employers",Tier 4 as credential - Tier 1 as free skill-building,Free,5-7 hrs per module,"Open access, no application, no selection. Verify Forage's minimum age terms before signing up minors.",Self-paced online modules (typically 5-7 hours each) with real employer-designed tasks and model answers,"Free, self-paced simulations built by actual employers. The J.P. Morgan investment banking track covers M&A, financial modeling, and DCF analysis; other finance tracks include asset management, markets, and quantitative research. Each module gives you a task, lets you submit work, then shows the company's own model answer so you can compare. Completion yields a shareable certificate. There is no selection process at all -- which is exactly why it carries limited admissions weight but real learning value.","Available year-round, no deadlines","Certificates, concrete exposure to real analyst tasks, DCF and modeling practice","Represent these honestly. They are simulations, not internships, and a resume line reading 'J.P. Morgan Investment Banking Virtual Experience (via Forage)' is accurate while 'J.P. Morgan intern' is not -- admissions officers and recruiters know the difference and misrepresenting it backfires badly. As a club activity, doing the JPM IB module together and comparing model answers is an excellent free workshop.",https://www.theforage.com/,Verified Aug 2026 -- confirm minimum age in Forage's terms before minors register,TRUE,2,1,3,2,7,10,not-started,,2026-08-03
bank-of-america-student-leaders,Bank of America Student Leaders,Internship,Career Access,Bank of America,Tier 2 - but no longer a high school opportunity,Free (paid internship),6 weeks full-time,"CHANGED: as of the 2026 cycle this is for FIRST-YEAR COLLEGE STUDENTS, not high schoolers. Requires being 18+, having earned a HS diploma within 24 months, 12-18 post-secondary credit hours, and residing in an eligible market.",Paid six-week full-time internship at a local nonprofit plus a three-day national Leadership Summit,"A well-known paid leadership internship placing students with local nonprofit organizations, combined with an all-expenses-paid Leadership Summit. Historically it was open to high school juniors and seniors, and many listicles still describe it that way -- but the 2026 cycle explicitly requires applicants to be at least 18, hold a high school diploma earned within the last 24 months, and have completed 12-18 hours of post-secondary credit. Applications for 2026 closed March 16.","Applications typically open in winter, close mid-March, program June-July","Paid internship, Leadership Summit, national network","Included specifically as a CORRECTION. Many blog posts aimed at high schoolers still list this as a HS program and your members will waste time on it. It is now a college-freshman program -- worth knowing about for seniors planning ahead, not for current underclassmen.",https://about.bankofamerica.com/en/making-an-impact/student-leaders,"Verified Aug 2026 -- eligibility changed, confirm before applying",TRUE,6,9,3,7,1,2,not-started,,2026-08-03
local-ria-community-bank-wealth-management-outreach,Local RIA / community bank / wealth management outreach (DIY internship),Internship,Career Access,Self-directed,Varies -- but real work experience beats most branded programs,Free,Varies,Anyone willing to send cold emails,"Direct outreach to local firms for part-time, summer, or shadowing arrangements","The most reliable path to an actual high school finance internship is the one nobody advertises. Registered investment advisors, community banks, credit unions, insurance and wealth management offices, and local financial planning and accounting practices regularly take on a high school helper for data entry, research support, client mailings, and administrative work. These roles are rarely posted -- they appear because a student asked. The Raleigh-Durham area has a dense concentration of financial services employers including a large Fidelity campus in RTP.",Year-round; best outreach windows are February-April for summer roles,"Genuine work experience, a professional reference, sometimes pay","Turn this into a club project: build a shared spreadsheet of every RIA, credit union, and planning firm within 20 miles, draft one good outreach email template together, and have every member send ten. If 5% respond, several members get real experience. This is more likely to produce a genuine internship than any national program on this list.",,"Strategy recommendation, not a specific program",FALSE,5,4,3,5,8,8,not-started,,2026-08-03
free-self-study-stack,"Free self-study stack (CME Institute, YIS resources, SEC/FINRA investor education)",Learning Resource,Skill Building,Various,Not a credential - foundational knowledge,Free,"Ongoing, self-paced",Open to all,"Free online courses, videos, templates, and reference material","A curated free curriculum a club can run without spending anything: CME Institute courses on futures and derivatives (genuinely rigorous and hard to find at this level), YIS instructional videos, the intrinsic value model, the stock pitch report template, and the Stock Investing 101 eBook, plus SEC and FINRA investor education materials on market structure, fees, and fraud. Combined, this covers more ground than most paid pre-college programs.",Anytime,"Actual competence, which is what makes the competitions winnable",Build your club's fall meeting syllabus out of this. Competitions are the output; this is the input. A club that competes without teaching tends to have one strong senior carrying everything and nothing left behind when they graduate.,https://www.cmegroup.com/education.html,Verified resources exist Aug 2026,TRUE,4,1,5,1,10,10,not-started,,2026-08-03
bloomberg-market-concepts-cfa-institute-investment-foundatio,Bloomberg Market Concepts (BMC) / CFA Institute Investment Foundations,Certification,Skill Building,Bloomberg L.P. / CFA Institute,"Tier 3 - recognized names, entry-level content",VERIFY -- pricing and availability have changed; BMC is sometimes free via institutional access,10-30 hrs,Open enrollment; BMC is often free through subscribing universities and some school programs,Self-paced online courses with certificates,"Two recognized entry-level finance credentials. Bloomberg Market Concepts is a self-paced course covering economic indicators, currencies, fixed income, and equities using Bloomberg terminal data, and is a widely recognized name in finance recruiting. The CFA Institute's introductory investment foundations program covers the structure and function of the investment industry. Both are more commonly taken by university students but neither restricts high schoolers.",Self-paced,"Recognized certificate, industry vocabulary","I did not verify current pricing or the exact status of the CFA introductory program -- both have been restructured in recent years. Check directly before committing club funds. Ask whether NC State, UNC, or Duke would extend BMC access to a local high school club; institutional access is sometimes shareable and it costs them nothing to say yes.",https://portal.bloombergforeducation.com/,NOT VERIFIED -- confirm current pricing and availability directly,FALSE,4,1,5,4,6,6,not-started,,2026-08-03
